EnglishName,NepaliName,District
Binita Kumari Singh,विनिता कुमारी सिंह,Siraha
Binod Kumar Chaudhary,विनोद कुमार चौधरी,Nawalparasi
Bimalendra Nidhi,विमलेन्द्र निधी,Dhanusa
Bir Bahadur Balayar,बिर बहादुर बलायर,Kailali
Biraj Bhakta Shrestha,विराज भक्त श्रेष्ठ,Kathmandu
Birendra Prasad Mahato,विरेन्द्र प्रसाद महतो,Siraha
Bishwa Prakash Sharma,विश्व प्रकाश शर्मा,Jhapa
Bishnu Kumar Karki,विष्णु कुमार कार्की,Nawalparasi (East of Bardaghat Susta)
Bishnu Prasad Paudel,विष्णु प्रसाद पौडैल,Rupandehi
Bina Jaiswal,वीना जैसवाल ,Parsa
Shakti Bahadur Basnet,शक्ति बहादुर बस्नेत ,Jajarkot
Sharat Singh Bhandari,शरत सिंह भण्डारी,Mahottari
Shyam Kumar Ghimire,श्याम कुमार घिमिरे,Sindhuli
Dr. Sashank Koirala,डा. शशांक कोइराला,Nawalparasi (East of Bardaghat Susta)
Shanti B.K.,शान्ती वि.क.,Chitwan
Shanti Shrestha,शान्ती श्रेष्ठ,Kathmandu
Shiva Nepali,शिव नेपाली,Kaski
Shishir Khanal,शिशिर खनाल,Kathmandu
Dr. Sunil Kumar Sharma,डा. सुनिल कुमार शर्मा,Morang
Dr. Shekhar Koirala,डा. शेखर कोइराला,Morang
Sher Bahadur Kunwar,शेर बहादुर कुँवर,Achham
Sher Bahadur Deuba,शेर बहादुर देउवा,Dadeldhura
Shova Gyawali,शोभा ज्ञवाली,Bardiya
Shankar Bhandari,शंकर भण्डारी,Tanahun
Santosh Chalise,सन्तोष चालिसे,Kathmandu
Santosh Pariyar,सन्तोष परियार,Bhaktapur
Sapana Raj Bhandari,सपना राज भण्डारी,Kathmandu
Samjhana Thapaliya,सम्झना थपलिया,Siraha
Sarbendra Nath Shukla,सर्वेन्द्र नाथ सुक्ला,Rupandehi
Saraswati Bajimaya,सरस्वती वजिमय,Khotang
Saraswati Subba,सरस्वती सुब्बा,Sarlahi
Saraj Ahmad Faruki,सराज अहमद फारुकी,Kapilbastu
Sarita Prasai,सरिता प्रसाई,Jhapa
Sarita Bhusal,सरिता भुसाल,Nawalparasi
Dr. Swarnim Wagle,डा. स्वर्णिम वाग्ले,Tanahun
Shanti Chaudhary,सान्ती चौधरी,Bardiya
Sita Kumari Rana,सिता कुमारी राना ,Dailekh
Sita Gurung,सीता गुरुङ्ग,Terhathum
Sita Mijar,सिता मिजार,Nuwakot
Sudan Kirati,सुदन किराती,Bhojpur
Sunita Baral,सुनिता बराल,Jhapa
Sumana Shrestha,सुमना श्रेष्ठ,Kathmandu
Surendra Raj Acharya,सुरेन्द्र राज आचार्य,Kapilbastu
Subash Chandra Nemwang,सुवास चन्द्र नेम्वाङ,Ilam
Sushil Thing,सुशिला थिङ,Sindhuli
Sushila Sripali Thakuri,सुशिला सिर्पाली ठकुरी,Arghakhanchi
Sushila Shrestha,सुशीला श्रेष्ठ,Udayapur
Surya Kumari Shrestha,सुर्य कुमारी श्रेष्ठ,Dailekh
Surya Prasad Dhakal,सुर्य प्रसाद ढकाल,Banke
Surya Man Tamang (Dong),सुर्यमान तामाङ (दोङ),Kavrepalanchowk
Suhang Nembang,सुहाङ्ग नेम्वाङ्ग,Ilam
Surya Bahadur Thapa Chhetri ,सूर्य बहादुर थापा क्षेत्री,Pyuthan
Sonu Murmu,सोनु मुर्मु,Morang
Sobita Gautam,सोविता गौतम,Kathmandu
Sangita Mandal Dhanuk,संगिता मण्डल धानुक,Mahottari
Sanjaya Kumar Gautam,संजयकुमार गौतम,Bardiya
Harkamaya Bishwakarma,हर्कमाया विश्वकर्मा,Jhapa
Hari Dhakal,हरि ढकाल,Chitwan
Hari Prasad Upreti,हरि प्रसाद उप्रेती,Sarlahi
Haseena Khan,हसीना खान,Banke
Hit Bahadur Tamang,हितबहादुर तामाङ,Nuwakot
Hitraj Pandey,हितराज पाण्डे,Gorkha
Hemraj Rai,हेमराज राई,Bhojpur
Hridayaram Thani,हृदयराम थानी,Surkhet
Gyan Bahadur Shahi,ज्ञानबहादुर शाही,Jumla
Gyanu Basnet Subedi,ज्ञानु बस्नेत सुवेदी,Chitwan
Gyanendra Bahadur Karki,ज्ञानेन्द्र बहादुर कार्की,Sunsari
